process,ans,r,lambda,epoch,n133230,-459.9999888,0.680544268,0.933075848,114,1
133306,-459.9999975,0.680543215,0.933073293,114,1,,,,,
133294,-459.9999975,0.680543184,0.933075844,114,1,,,,,
133306,-459.9999975,0.680543242,0.933070885,114,1,,,,,
133284,-459.9999974,0.680543323,0.933077674,114,1,,,,,
133304,-459.9999974,0.680544759,0.933074517,114,1,,,,,
133308,-459.9999974,0.680543261,0.933069754,114,1,,,,,
133305,-459.9999973,0.680544751,0.933074922,114,1,,,,,
133282,-459.9999973,0.680543283,0.933071564,114,1,,,,,
133295,-459.9999973,0.680543215,0.933075697,114,1,,,,,
133310,-459.9999973,0.680543268,0.933078325,114,1,,,,,
133295,-459.9999973,0.680543257,0.93307195,114,1,,,,,
133307,-459.9999973,0.680541647,0.933071872,114,1,,,,,
133309,-459.9999973,0.680542786,0.93307348,114,1,,,,,
133295,-459.9999972,0.680542854,0.933070762,114,1,,,,,
133307,-459.9999971,0.680543201,0.933078767,114,1,,,,,
133302,-459.9999971,0.680544753,0.933078676,114,1,,,,,
133301,-459.999997,0.680543141,0.933075585,114,1,,,,,
133289,-459.999997,0.680541579,0.933079442,114,1,,,,,
133292,-459.9999969,0.680543264,0.933071953,114,1,,,,,
133292,-459.9999969,0.680542821,0.933076573,114,1,,,,,
133304,-459.9999968,0.680542797,0.933071797,114,1,,,,,
133292,-459.9999968,0.680542814,0.933076246,114,1,,,,,
133310,-459.9999968,0.680542871,0.933071602,114,1,,,,,
133286,-459.9999968,0.680543252,0.933076137,114,1,,,,,
133294,-459.9999968,0.680543153,0.933076228,114,1,,,,,
133304,-459.9999968,0.680543154,0.933078897,114,1,,,,,
133298,-459.9999968,0.68054328,0.933072453,114,1,,,,,
133286,-459.9999968,0.680543182,0.933076106,114,1,,,,,
133300,-459.9999967,0.680542917,0.933075205,114,1,,,,,
133307,-459.9999967,0.680542877,0.933077679,114,1,,,,,
133312,-459.9999967,0.680542774,0.933070532,114,1,,,,,
133284,-459.9999967,0.680543,0.933076277,114,1,,,,,
133287,-459.9999967,0.680542829,0.933069695,114,1,,,,,
133287,-459.9999967,0.680542735,0.933074094,114,1,,,,,
133303,-459.9999967,0.680542888,0.933070612,114,1,,,,,
133309,-459.9999967,0.680542861,0.933070228,114,1,,,,,
133305,-459.9999967,0.680543028,0.933076028,114,1,,,,,
